#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J0025-19    	 6.360 	 -19.9 	 1.306    	 21.0 	 0.002 	 58079 	 98.3 	 * 	 54.63 	 53.4139 	 2.39! 	 9.57! 	 *	 *	*	31.719	   1.1648    	 0.5610    	Detected in Beam 101914
J0034+69    	 8.549 	 69.72 	 0.0368   	 80.0 	 0.006 	 55169 	 94.4 	 * 	 94.51 	 1.76954 	 1.53! 	 6.34! 	 80.001	 101.15	47.152	30.085	   2.1235    	 0.8896    	Detected in Beam  04709
J0034+69    	 8.549 	 69.72 	 0.0368   	 80.0 	 0.492 	 55169 	 94.4 	 * 	 94.51 	 2.05933 	 0.98! 	 4.06! 	 12.260	 33.984	16.488	1.0310	   0.4748    	 0.2976    	Not Detected in  04853
J0038-25    	 9.699 	 -25.1 	 0.257    	 5.7 	 0.497 	 56774 	 90.8 	 * 	 57.96 	 23.0195 	 2.39! 	 9.57! 	 *	 *	*	1.2659	   0.4861    	 0.3113    	Not Detected in 107870
J0038-25    	 9.699 	 -25.1 	 0.257    	 5.7 	 0.007 	 56774 	 91.5 	 * 	 57.96 	 25.3449 	 2.39! 	 9.57! 	 *	 *	*	70.037	   4.5324    	 1.5979    	Detected in Beam 108247
J0038-25    	 9.699 	 -25.1 	 0.257    	 5.7 	 0.499 	 56776 	 91.5 	 * 	 57.96 	 20.4764 	 2.39! 	 9.57! 	 *	 *	*	33.391	   12.154    	 0.7763    	Detected in Beam 108624
J0053+69    	 13.34 	 69.64 	 0.832    	 117.0 	 0.488 	 55163 	 95.6 	 * 	 94.51 	 17.4923 	 2.39! 	 9.57! 	 142.70	 190.05	93.244	31.958	   8.5709    	 0.5621    	Detected in Beam  04599
J0053+69    	 13.34 	 69.64 	 0.832    	 117.0 	 0.017 	 55169 	 94.7 	 * 	 94.51 	 17.2014 	 2.39! 	 9.57! 	 838.63	 1107.3	543.28	50.442	   2.3020    	 0.7640    	Detected in Beam  04743
J0058+49    	 14.80 	 50.03 	 0.996    	 67.0 	 0.000 	 55531 	 95.0 	 * 	 77.72 	 38.3685 	 2.39! 	 9.57! 	 *	 *	*	35.573	   1.8324    	 0.5635    	Detected in Beam  17752
J0104+64    	 16.16 	 64.73 	 1.386    	 43.0 	 0.499 	 55188 	 93.9 	 * 	 121.9 	 169.713 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  07039
J0104+64    	 16.16 	 64.73 	 1.386    	 43.0 	 0.008 	 55188 	 93.9 	 * 	 121.9 	 48.9423 	 2.39! 	 9.57! 	 *	 *	*	9.3418	   0.7259    	 0.3613    	Detected in Beam  07272
J0110-22    	 17.56 	 -22.1 	 1.262    	 20.0 	 0.012 	 56593 	 94.2 	 * 	 57.96 	 91.5971 	 2.39! 	 9.57! 	 *	 *	*	24.108	   1.3011    	 0.4912    	Detected in Beam 104655
J0110-22    	 17.56 	 -22.1 	 1.262    	 20.0 	 0.493 	 56666 	 74.9 	 * 	 57.96 	 257.577 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 105032
J0112+66    	 18.15 	 66.36 	 4.301    	 112.0 	 0.007 	 55188 	 93.9 	 * 	 106.8 	 47.6612 	 2.39! 	 9.57! 	 452.80	 435.59	213.80	24.780	   0.9339    	 0.3981    	Detected in Beam  06374
J0125-23    	 21.29 	 -23.6 	 0.00368  	 9.6 	 0.499 	 56717 	 89.1 	 * 	 57.96 	 0.45639 	 0.59! 	 2.47! 	 *	 *	*	1.0774	   0.5102    	 0.3185    	Not Detected in 106053
J0125-23    	 21.29 	 -23.6 	 0.00368  	 9.6 	 0.000 	 56718 	 88.6 	 * 	 57.96 	 0.82096 	 0.14! 	 0.61! 	 *	 *	*	20.796	   2.2144    	 0.7215    	Detected in Beam 106430
