name rad decd p0 dm Dist MJD BW Spindx Temp Wdat Wcat Wsmr S/Ne S/Nc S/Ns S/Nm Flux dFlux Beam
J0025-19 6.36 -19.9 1.306 21.0 0.002 58079 98.3 * 54.63 53.4139 2.39! 9.57! * * * 31.719 1.1648 0.5610 101914
J0034+69 8.549 69.72 0.0368 80.0 0.006 55169 94.4 * 94.51 1.76954 1.53! 6.34! 80.001 101.15 47.152 30.085 2.1235 0.8896 4709
J0038-25 9.699 -25.1 0.257 5.7 0.007 56774 91.5 * 57.96 25.3449 2.39! 9.57! * * * 70.037 4.5324 1.5979 108247
J0053+69 13.34 69.64 0.832 117.0 0.017 55169 94.7 * 94.51 17.2014 2.39! 9.57! 838.63 1107.3 543.28 50.442 2.3020 0.7640 4743
J0058+49 14.8 50.03 0.996 67.0 0.0 55531 95.0 * 77.72 38.3685 2.39! 9.57! * * * 35.573 1.8324 0.5635 17752
J0104+64 16.16 64.73 1.386 43.0 0.008 55188 93.9 * 121.9 48.9423 2.39! 9.57! * * * 9.3418 0.7259 0.3613 7272
J0110-22 17.56 -22.1 1.262 20.0 0.012 56593 94.2 * 57.96 91.5971 2.39! 9.57! * * * 24.108 1.3011 0.4912 104655
J0112+66 18.15 66.36 4.301 112.0 0.007 55188 93.9 * 106.8 47.6612 2.39! 9.57! 452.80 435.59 213.80 24.780 0.9339 0.3981 6374
J0125-23 21.29 -23.6 0.00368 9.6 0.0 56718 88.6 * 57.96 0.82096 0.14! 0.61! * * * 20.796 2.2144 0.7215 106430
J0125+62 21.42 62.59 1.708 118.0 0.003 55200 95.0 * 117.1 20.7072 2.39! 9.57! 99.297 99.968 49.062 16.429 0.7059 0.2852 8526
J0136+63 24.08 63.7 0.718 286.0 0.007 55197 95.3 * 118.0 27.2099 2.39! 39.1! 53.440 96.388 21.502 15.754 1.2207 0.3567 7861
J0141+63 25.48 62.93 0.0467 273.0 0.006 55197 94.0 * 118.0 2.37731 0.98! 186.! 17.925 47.261 W>P 8.0846 0.7357 0.2197 8327
J0213+52 33.34 52.52 0.376 38.0 0.022 55353 94.9 * 85.37 14.6118 2.39! 9.57! * * * 18.074 1.0316 0.3110 15681
J0216+52 34.07 52.23 0.024575 22.0 0.011 55353 94.9 * 85.37 0.91064 1.53! 6.14! * * * 19.478 1.0815 0.3527 15914
J0325+67 51.47 67.81 1.365 65.0 0.007 55171 95.4 * 87.95 16.237 2.39! 9.57! 1034.9 1031.9 506.52 42.448 1.3535 0.5615 5625
J0338+66 54.64 66.73 1.762 67.0 0.0 55179 94.5 * 87.95 31.2434 2.39! 9.57! 335.86 410.09 201.28 39.894 1.5650 0.5490 6180
J0355+28 58.99 28.76 0.365 49.0 0.001 56277 94.1 * 56.72 9.88829 2.39! 9.57! * * * 20.030 0.6306 0.2167 39429
J0358+42 59.9 41.99 0.226 46.0 0.002 55629 94.7 * 81.69 12.0082 2.39! 9.57! 107.53 231.49 113.61 29.201 1.8741 0.5586 25145
J0405+33 61.36 33.57 0.063948 54.0 0.005 56156 94.2 * 59.94 1.01736 2.39! 9.60! * * * 11.676 0.2958 0.1137 33973
J0406+30 61.56 30.72 0.0026 49.0 8.344 56277 94.2 * 59.94 0.27737 0.14! 1.27! * * * 45.702 3.1482 1.0853 37167
J0414+31 63.53 31.51 1.081 64.0 0.0 56184 93.8 * 59.94 20.6629 2.39! 9.57! * * * 20.960 0.5843 0.2126 36269
J0417+61 64.31 61.13 0.44 71.0 0.0 55249 95.0 * 87.65 11.4785 2.39! 9.57! 39.624 58.936 28.925 8.6223 0.4095 0.1303 9442
J0510+38 77.49 38.2 0.0765 69.0 0.003 55658 95.3 * 89.89 3.75513 2.39! 9.61! 63.197 130.48 63.884 21.137 1.4269 0.4208 28996
J0519+54 79.95 54.42 0.34 43.0 0.004 55343 95.1 * 83.33 14.2567 2.39! 9.57! 82.642 157.12 77.117 18.575 1.0717 0.3233 14191
J0530-39 82.57 -39.1 0.907 49.0 0.012 56998 78.9 * 57.26 33.2958 2.39! 9.57! * * * 27.517 1.1185 0.3736 123973
J0534-13 83.6 -13.3 0.979 74.0 6.752 57149 79.5 * 55.47 12.4174 2.39! 9.57! * * * 46.307 1.0536 0.4512 93575
J0557-29 89.36 -29.7 0.0436 49.0 0.044 56835 91.7 * 57.26 0.68743 0.98! 3.94! * * * 55.673 1.3799 0.6472 113760
J0610+37 92.66 37.3 0.444 39.0 0.492 55682 95.8 * 69.03 14.0899 2.39! 9.57! 6.5474 10.772 5.2872 37.241 9.2785 0.5757 29564
J0614+83 93.51 83.22 1.039 44.0 0.0 55148 94.9 * 54.73 13.0243 2.39! 9.57! 116.72 119.51 58.661 26.757 0.5465 0.2343 530
J0636-23 99.04 -23.3 0.476 60.0 0.0 56666 94.5 * 57.96 16.0708 2.39! 9.57! * * * 18.150 0.6528 0.2170 106076
J0636+51 99.24 51.49 0.00286 11.1 0.012 55442 76.4 * 68.19 0.20013 0.59! 2.56! * * * 10.494 0.7255 0.2718 16534
J0645+51 101.4 51.83 0.00885 18.2 0.0 55366 94.3 * 77.72 0.32728 0.59! 2.44! * * * 52.235 2.6435 1.3037 16246
J0645+80 101.3 80.14 0.658 50.0 0.011 55146 95.1 * 57.71 34.0383 2.39! 9.57! 154.55 328.05 161.01 39.872 1.7805 0.5739 1119
J0648-27 102.2 -27.2 4.1692 133.0 0.005 56777 91.1 * 57.26 50.0325 2.39! 9.57! * * * 33.334 0.7114 0.3090 110812
J0659-36 104.9 -36.3 0.637 84.0 0.013 56987 81.1 * 57.26 12.8034 2.39! 9.57! * * * 8.9728 0.2640 0.0964 121093
J0737+69 114.2 69.22 6.824 16.0 0.008 55173 94.7 * 57.11 83.5269 2.39! 9.57! 71.391 72.222 35.449 40.203 0.8479 0.3646 4936
J0741+66 115.4 66.33 0.00288 15.0 0.01 55189 95.0 * 114.9 0.25796 0.59! 2.69! * * * 87.106 10.404 3.3935 6389
J0746+66 116.6 66.6 0.407 28.0 0.01 55189 94.9 * 60.39 10.4838 2.39! 9.57! 285.27 421.55 206.91 16.163 0.5261 0.1791 6245
J0749+57 117.4 57.0 1.175 27.0 0.007 55290 95.2 * 98.63 15.3791 2.39! 9.57! * * * 49.319 1.8537 0.7273 12256
J0758-30 119.6 -30.0 1.092 86.0 0.0 56784 90.0 * 57.26 25.6694 2.39! 9.57! * * * 45.251 1.3673 0.4810 114053
J0930-22 142.5 -22.9 1.807 79.0 0.011 56663 94.3 * 56.07 21.2526 2.39! 9.57! * * * 56.745 1.1545 0.5071 105628
J0943+41 145.8 41.14 2.23 21.0 0.496 55572 21.9 * 45.34 1204.55 2.39! 9.57! 5.1497 50.722 24.896 460.74 965.52 72.346 25613
J1017-15 154.3 -15.3 0.0831 17.0 0.004 57098 78.8 * 55.47 4.01773 2.39! 9.57! * * * 8.1368 0.3697 0.1225 96059
J1045-04 161.3 -4.73 0.024 4.8 0.001 57156 77.3 * 52.99 1.26448 1.53! 6.12! * * * 68.910 3.1602 1.0927 82275
J1101+65 165.3 65.11 3.631 19.0 0.007 55227 96.1 * 53.24 30.8714 2.39! 9.57! 803.92 676.54 332.07 34.112 0.5537 0.2928 7051
J1110+58 167.6 58.86 0.793 26.0 0.006 55285 95.8 * 52.20 11.4741 2.39! 9.57! 96.265 106.00 52.029 23.296 0.4858 0.1984 10944
J1115-24 168.8 -24.6 0.868 30.0 0.012 56719 92.0 * 56.07 10.7773 2.39! 9.57! * * * 99.049 2.0969 0.8989 107717
J1120-23 170.0 -23.7 0.497 9.9 0.008 56663 94.4 * 56.07 6.06355 2.39! 9.57! * * * 26.961 0.5583 0.2412 106586
J1122+78 170.7 78.44 0.0042 11.2 0.007 55168 95.2 * 73.75 0.44228 0.14! 0.61! * * * 93.533 7.8279 2.5927 1540
J1127-38 172.0 -38.5 0.877 48.0 0.01 56990 82.0 * 57.26 25.2401 2.39! 9.57! * * * 73.851 2.5966 0.8886 123399
J1154-19 178.5 -19.7 0.0111 10.7 0.011 56999 87.6 * 55.47 0.46538 0.98! 3.93! * * * 29.404 1.1775 0.4097 101630
J1221-06 185.3 -6.54 0.00193 16.0 0.008 57379 84.6 * 55.47 0.17345 0.59! 3.09! * * * 13.872 0.8488 0.3090 84652
J1235-36 188.8 -36.5 0.569 59.0 0.0 56929 92.2 * 57.26 9.28942 2.39! 9.57! * * * 66.076 1.6384 0.6307 121239
J1239+32 189.9 32.53 0.0047 17.0 7.248 56054 94.7 * 65.85 1.02551 0.14! 0.63! * * * 7.4322 0.8574 0.2696 35124
J1320+67 200.2 67.5 1.029 28.0 0.003 55200 95.7 * 56.52 13.9236 2.39! 9.57! 80.444 85.621 42.026 31.686 0.6919 0.2855 5781
J1327+34 201.9 34.52 0.0415 4.2 0.007 56052 94.8 * 66.00 1.06799 0.98! 3.92! * * * 122.56 4.3589 1.6328 32930
J1336-25 204.0 -25.4 0.478 37.0 0.013 56751 93.9 * 55.08 14.3202 2.39! 9.57! * * * 68.279 2.2037 0.7521 108654
J1505-25 226.3 -25.1 0.999 44.8 0.001 56754 93.9 * 55.08 17.5692 2.39! 9.57! * * * 31.473 0.7721 0.2928 108358
J1515-32 228.9 -32.6 0.0644 25.0 0.493 56936 90.5 * 55.08 5.17395 2.39! 9.57! * * * 68.708 23.040 1.2639 116665
J1529-26 232.2 -26.4 0.799 45.0 0.499 56755 93.1 * 55.08 18.596 2.39! 9.57! * * * 23.985 4.3392 0.3998 109468
J1530-21 232.5 -21.3 0.505 38.0 0.0 56588 92.8 * 55.08 11.9513 2.39! 9.57! * * * 17.440 0.5009 0.1774 103690
J1536-30 234.1 -30.1 1.901 63.0 0.005 56908 85.4 * 55.08 22.075 2.39! 9.57! * * * 30.874 0.6435 0.2863 114115
J1627+86 246.7 86.9 0.396 47.0 0.008 55149 94.8 * 58.45 10.308 2.39! 9.57! 221.77 329.48 161.71 17.297 0.5480 0.1878 110
J1629+33 247.3 33.39 1.525 35.0 0.002 56089 94.4 * 66.85 42.7366 2.39! 9.57! * * * 20.838 0.7857 0.2584 34168
J1629+43 247.3 43.98 0.181 7.3 0.001 55553 95.8 * 54.88 7.49715 2.39! 9.57! 106.73 201.64 98.971 35.951 1.3524 0.4484 23222
J1638-35 249.5 -35.2 0.705 115.0 0.005 57123 87.0 * 55.08 11.1042 2.39! 9.58! * * * 25.215 0.6079 0.2392 119851
J1644-33 251.0 -33.3 0.397 130.0 0.01 56989 92.2 * 55.08 13.7628 2.39! 9.66! * * * 26.970 0.9467 0.3185 117733
J1647+66 251.9 66.06 1.599 22.0 0.006 55202 96.0 * 66.05 29.4877 2.39! 9.57! 138.85 172.96 84.895 73.762 2.1997 0.7924 6532
J1706+59 256.6 59.16 1.477 31.0 0.495 55284 95.8 * 63.82 19.5447 2.39! 9.57! 66.841 70.343 34.526 180.62 27.127 1.8224 10980
J1710+49 257.6 49.33 0.00322 7.1 0.0 55416 95.0 * 61.58 0.2294 0.59! 2.44! 313.40 788.83 382.50 8.7923 0.4963 0.1863 18355
J1733-01 263.4 -1.62 0.302 61.9 0.004 57535 80.2 * 52.99 13.0302 2.39! 9.57! * * * 7.5195 0.3048 0.1029 78143
J1741-02 265.4 -2.14 0.132 81.8 0.003 57542 78.5 * 52.99 4.52793 2.39! 9.60! * * * 12.544 0.4564 0.1570 78842
J1741-21 265.2 -21.8 2.565 151.0 0.01 56591 93.3 * 55.08 92.6898 2.39! 9.57! * * * 9.6516 0.3441 0.1152 104305
J1800+50 270.1 50.47 0.578 23.0 0.004 55384 94.9 * 62.03 14.108 2.39! 9.57! 907.10 1303.9 640.00 63.479 2.0636 0.7056 17381
J1806+28 271.5 28.49 0.0151 18.7 0.0 56254 94.3 * 60.44 1.84484 0.98! 3.94! * * * 25.598 1.9181 0.6035 39739
J1815+55 273.7 55.47 0.427 59.0 0.006 55346 95.4 * 66.95 10.8954 2.39! 9.57! 147.23 216.51 106.26 21.478 0.7688 0.2564 13378
J1816+45 274.1 44.9 0.00319 38.9 0.0 55526 94.3 * 70.32 0.29031 0.59! 3.75! * * * 57.736 4.2687 1.4690 22350
J1819-37 274.7 -37.3 0.632 68.0 0.003 57170 89.6 * 55.08 8.11922 2.39! 9.57! * * * 59.431 1.2732 0.5405 122084
J1821+41 275.4 41.74 1.262 40.0 0.0 55689 94.7 * 54.13 9.53605 2.39! 9.57! 208.27 165.15 81.063 47.994 0.7518 0.4288 25400
J1822+02 275.6 2.731 1.508 103.0 0.0 57665 79.2 * 56.37 65.7071 2.39! 9.57! * * * 24.904 1.0863 0.3603 72378
J1829+25 277.4 25.06 2.857 74.0 0.003 56458 94.7 * 60.44 33.5467 2.39! 9.57! * * * 27.279 0.5958 0.2591 43810
J1836+51 279.1 51.85 0.69192 44.0 0.0 55385 97.7 * 72.76 209.951 2.39! 9.57! * * * 40.732 6.3845 1.8914 16229
J1842-39 280.5 -39.7 0.374 47.0 0.013 57384 87.0 * 55.08 32.5621 2.39! 9.57! * * * 37.388 2.2032 0.7126 124558
J1859+76 284.7 76.89 1.394 47.0 0.003 55177 93.5 * 60.69 29.9935 2.39! 9.57! 137.89 185.82 91.208 22.560 0.6774 0.2389 1979
J1901-04 285.3 -4.81 1.83 107.0 0.016 57544 84.3 * 55.18 104.036 2.39! 9.57! * * * 8.4222 0.4017 0.1315 82405
J1904+33 286.0 33.83 0.417 81.0 0.001 56053 94.3 * 66.85 14.4114 2.39! 9.57! * * * 17.463 0.7338 0.2350 33686
J1907+57 286.7 57.32 0.424 55.0 0.002 55330 95.0 * 94.26 12.6159 2.39! 9.57! * * * 30.988 1.6935 0.5223 12027
J1911+37 287.8 37.63 0.851 72.0 0.0 55988 95.9 * 66.85 13.011 2.39! 9.57! * * * 30.191 0.8284 0.3168 29594
J1917-29 289.3 -29.5 1.249 38.0 0.006 56902 91.3 * 55.08 37.9372 2.39! 9.57! * * * 43.455 1.4309 0.4887 113447
J1921-05 290.3 -5.32 2.228 80.3 0.0 58087 83.5 * 55.18 133.532 2.39! 9.57! * * * 22.623 1.1132 0.3646 83049
J1921+42 290.4 42.41 0.595 53.0 0.492 55633 94.9 * 70.22 8.58849 2.39! 9.57! 59.672 65.628 32.212 174.49 29.721 1.9319 24371
J1922+58 290.5 58.46 0.53 53.0 0.492 55330 95.4 * 70.22 13.5663 2.39! 9.57! 17.195 25.327 12.431 39.697 8.9807 0.5754 11451
J1928+28 292.0 28.82 1.063 79.0 0.005 56107 94.1 * 60.44 43.7445 2.39! 9.57! * * * 15.414 0.6422 0.2074 39354
