J0048+3412 820:1145,2900:4096
J0156+3949 614:1024
J0301+35 2949:3358,3604:4014
J0335+4555 614:1024
J0343+06 2457:3276
J0410-31 737:902,2498:2621,3891:4055
J0417+35 491:902
J0421-0345 2457:3276
J0458-0505 2457:2868
J0502+4654 700:942
J0555+3948 491:1024
J0610+37 614:901,3072:3892
J0612+3721 696:819,3276:3686
J0613+3731 696:860,2252:2663,3176:3686
J0630-0046 819:1638,2867:3277
J0652-0142 3276:4015
J0726-2612 2457:2663,2826:3317
J0733-2345 40:123,2662:2867
J0804-3647 2457:3277
J0818-3232 2457:2786
J0912-3851 2867:3277
J0928+06 2457:3277
J0944+4106 614:819
J1518-0627 2457:2867
J1547-0944 2457:3277
J1622-3751 2457:3277
J1623-0908 2457:3277,3481:3686
J1624+8643 655:778
J1628+4406 614:901
J1632-1013 2457:3277
J1700-3312 2457:2662
J1700-3611 2457:2662
J1700-3611 2457:2662
J1721+35 491:1106,1638:2048,2457:2745,3276:3687
J1735-0243 2457:2662
J1739-2903 819:942
J1741-0840 2457:3277
J1745-0129 2129:2294,2457:3072
J1759-1029 2457:3277
J1801-0357 1433:1597
J1802+0128 3276:3973
J1805-0619 2457:3277
J1808-0813 2457:3277
J1812+0226 1925:2048,2375:2458,3358:4015
J1814-0521 2457:3277
J1821+4147 614:820,3194:3687
J1825-31 2457:3277
J1838-1046 2457:3277
J1839-0627 2457:3277
J1840-0840 2457:3277
J1842+0257 2457:3277
J1842-0359 2457:3277
J1845-0743 2457:3277
J1846-07492 2457:3277
J1849-0614 737:1024,2457:3277
J1849-0636 2457:3277
J1855-0941 2457:3277
J1857-1027 2457:3277
J1900+30 532:902
J1900-0928 1720:1967,2457:3277
J1901-0906 2457:3277
J1903-0848 2457:3277,3481:3687
J1918-1052 2457:3277
J1929+3817 491:738
J1931+30 614:902,3072:4096
J1937+2950 614:1106,3194:3687
J1941+0237 3276:4096
J1943-1237 2457:3277
J1946-1312 2457:3277
J2004+3137 3072:3482
J2005-0020 2457:3277
J2013-20 2375:3277
J2033+0042 2457:3277
J2033-1938 2457:3277
J2044+4614 573:820
J2046-0421 2457:2868
J2205+1444 2457:3277
J2207+40 532:820
J2227+30 532:943,3276:3687
J2229+6447 901:1106
J2253+1516 2457:3277,3481:3687
J2305+3100 614:1024,1638:2171,3276:4096
J1524-33 2457:3277
J2305+4707 680:1024,1638:2171,3276:3933
J1530-26 2457:3277
J1849-0317 2457:3277
J0459-0210 2457:3277
J1126-38  2457:3277
J1803-3329 2048:2130,2867:3072
J2038+35 409:820,3276:3687
J1804-28 2457:2745 
J2347+02 2457:3277
J0025-19 2457:3277
J0058+4950 614:1024
J0648-27 2457:2868
J1529-26 2457:3072
J1536-30 2457:3277
J1638-35 2457:3277
J1819-37 2457:3277
J1822+02 2457:3277
J1901-04 2457:3277

