name ra dec p0 dm beam
J0014+4746 3.573 47.77 1.240699 30.4 19802
J0030+0451 7.614 4.861 0.004865 4.332 69542
J0033+57 8.25 57.0 0.315 76.0 12084
J0034-0534 8.59 -5.57 0.001877 13.76 83305
J0034-0721 8.536 -7.36 0.94295 10.92 85889
J0034+69 8.5 69.71 0.036804 80.0 04709
J0040+5716 10.13 57.27 1.118225 92.51 11940
J0048+3412 12.14 34.2 1.217094 39.92 33544
J0050+03 12.62 3.8 1.36656 26.5 71173
J0051+0423 12.87 4.38 0.354731 13.9 70186
J0055+5117 13.93 51.29 2.115171 44.01 16532
J0056+4756 14.1 47.93 0.472036 18.13 19493
J0059+50 14.75 50.03 0.996009 67.0 17752
J0102+6537 15.63 65.62 1.679164 65.85 06662
J0108+6608 17.09 66.14 1.283659 30.54 06518
J0108+6905 17.12 69.09 1.071118 61.06 04921
J0117+5914 19.41 59.24 0.101439 49.42 10644
J0134-2937 23.57 -29.6 0.136961 21.8 113517
J0139+5814 24.83 58.24 0.27245 73.81 11288
J0141+6009 25.41 60.15 1.222948 34.92 09924
J0147+5922 26.93 59.36 0.196321 40.11 10767
J0151-0635 27.84 -6.58 1.464664 25.66 84661
J0152-1637 28.04 -16.6 0.832741 11.92 97814
J0157+6212 29.45 62.2 2.351744 30.21 08738
J0218+4232 34.52 42.53 0.002323 61.25 24509
J0231+7026 37.8 70.44 1.46682 46.67 04392
J0242+62 40.64 62.94 0.592 4.0 08285
J0244+14 41.21 14.45 2.1281 31.0 57470
J0323+3944 50.86 39.74 3.032071 26.18 27284
J0325+67 51.5 67.81 1.364741 65.0 05625
J0332+5434 53.24 54.57 0.714519 26.76 13843
J0338+66 54.75 66.73 1.762 67.0 06180
J0343+5312 55.8 53.21 1.934478 67.3 15008
J0358+42 59.5 42.1 0.226477 46.0 25145
J0358+5413 59.72 54.22 0.156384 57.14 14199
J0406+6138 61.62 61.64 0.594576 65.4 09120
J0408+551 62.0 55.0 1.837 55.0 13534
J0410-31 62.66 -31.1 1.8785 9.2 115009
J0415+6954 63.98 69.9 0.390715 27.44 04651
J0419+44 64.75 44.0 1.241 71.0 22972
J0421-0345 65.38 -3.75 2.161308 44.61 81129
J0450-1248 72.53 -12.8 0.438014 37.04 93041
J0452-1759 73.14 -17.9 0.548939 39.9 99429
J0454+5543 73.53 55.72 0.340729 14.59 13081
J0502+4654 75.51 46.9 0.638565 41.83 20545
J0520-2553 80.15 -25.8 0.241642 33.77 109134
J0533+0402 83.35 4.033 0.963017 83.7 71073
J0540+3207 85.15 32.12 0.52427 61.97 35740
J0601-0527 90.49 -5.46 0.395969 80.53 83362
J0608+00 92.2 0.65 1.0762 48.0 75089
J0610+37 92.75 37.3 0.443861 39.0 29564
J0612+3721 93.2 37.36 0.297982 27.15 29564
J0613-0200 93.43 -2.01 0.003061 38.77 78749
J0614-3329 93.54 -33.4 0.003148 37.04 117742
J0624-0424 96.08 -4.41 1.039076 70.83 81655
J0627+0649 96.97 6.831 0.346522 86.6 66761
J0630-2834 97.7 -28.5 1.244418 34.42 112375
J0645+5158 101.4 51.97 0.008853 18.24 16246
J0645+80 101.5 80.15 0.657873 50.0 01119
J0653+8051 103.3 80.86 1.21444 33.31 00975
J0700+6418 105.1 64.3 0.19567 8.773 07452
J0729-1448 112.3 -14.8 0.251658 91.7 95376
J0729-1836 112.3 -18.6 0.51016 61.29 100167
