# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0014+4746 3.573 47.77 1.240699 30.41 30.27 0.32052886011689563 0.227 55538 63.278125 -1.0 0 90.71000000000001 175.158 109.013 28.0 56.58489228399401 29.686772910461766 0.570155560647213 0.9597854650084316 5.090729647087017 0.8872930271247811 16.0 14.00 3.00 1 19802 catalog -1.095187 0.899610 5.64e-16 * 8.47e+11 200 0
J0025-19 6.36 -19.9 1.306 21.0 21.39 0.3373990720655579 0.002 58079 58.280469 * 0 60.86 95.001 39.116 14.0 * 51.3173179786741 1.5061379503018117 0.9598044407408041 3.8080786627475796 0.7438272396166393 * * * 1 101914 gbncc * * * * * 200 0
J0026+6320 6.71 63.33 0.318358 230.3 244.7 0.08224631989636055 0.196 55198 75.2 -0.8 0 150.7 48.247 23.897 30.0 7.445873164318177 16.655609765357276 0.9119118032041507 0.9575057237102341 4.76131159468994 0.5615340851736271 3.03143313302 * 1.00 1 8191 catalog * * 1.50e-16 * 2.21e+11 200 0
J0030+0451 7.614 4.861 0.004865 4.34 4.335 0.005027401181007472 0.086 58229 51.099999999999994 -1.9 0 81.62 1.092 0.67 12.0 35.947272549857416 41.279728323389705 1.3280701894771576 0.7080413975263136 6.805886492896807 1.4167597670322842 10.2223688869 7.90 0.60 2 69542 catalog -3.060537 0.737991 1.02e-20 GRS:2FGL_J0030.4+0450[naa+12] 2.25e+08 50 0
J0033+57 8.25 57.0 0.315 76.0 75.65 0.08137879609544467 0.389 55325 74.7 * 0 123.04 18.814 8.648 12.0 * 29.49138761060289 1.594331484299636 0.9574576754728962 9.139184707328587 1.2412936509297439 * * * 1 12084 catalog * * * * * 200 0
J0033+61 8.25 61.0 0.912 37.0 37.69 0.23561099060014457 0.303 55249 73.073633 * 0 130.4 25.884 16.144 5.0 * 12.622037601983623 2.4868822791360516 0.9596260549206819 1.7364089474468405 0.40810285680797886 * * * 2 9500 catalog * * * * * 200 0
J0034-0534 8.59 -5.57 0.001877 13.77 13.76 0.001939657146300313 0.253 57380 59.3 -2.7 0 76.56 0.85 0.67 23.0 39.51900122495299 103.73917532639621 1.8389414765074483 0.38977253134175505 36.07012223486124 7.777061884798128 24.4448297647 17.00 0.61 4 83305 catalog * * 4.97e-21 GRS:2FGL_J0034.4-0534[naa+12] 9.77e+07 50 0
J0034-0721 8.536 -7.36 0.942951 10.92 10.94 0.243607038593637 0.277 57387 65.1 -1.6 0 80.43 106.521 62.031 23.0 241.90283894992885 184.83461795791797 8.284226428909076 0.9596479170274519 28.328132946613128 5.766643520738179 64.3858537543 52.00 11.10 2 85889 catalog -2.360186 0.369414 4.08e-16 * 6.28e+11 200 0
J0034+69 8.5 69.71 0.036804 80.0 80.01 0.014856474263376718 0.024 55169 74.4 * 2 120.21000000000001 2.69 1.285 10.0 33.03124721227506 22.28273671182943 6.11878637545973 0.9090220836993159 2.534191604241279 0.7680342930370808 5.64675342093 4.50 * 2 4709 catalog * * * * * 128 0
J0038-25 9.699 -25.1 0.257 5.7 5.7 0.06639476379850566 0.007 56774 71.5 * 0 56.980000000000004 23.028 6.639 18.0 * 70.94638531723285 0.6925360963747265 0.9563345680312383 5.087277226312431 1.0065974178852526 * * * 2 108247 gbncc * * * * * 200 0
