# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from tmp
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-25 11:29:59 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
J0002+6216	  0.74238 	 62.26928 	 0.1154 	 5.96703E-15 	        * 	 0.4302207 	  55199  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 08534
J0002+6216	  0.74238 	 62.26928 	 0.1154 	 5.96703E-15 	        * 	 0.2426714 	  55199  	       *	   2.531	     0.202    	   0.108    	Not Detected in # 08678
J0002+6216	  0.74238 	 62.26928 	 0.1154 	 5.96703E-15 	        * 	 0.3080187 	  55199  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 08911
J0006+1834	     1.52 	 18.58306 	 0.6937 	 2.097E-15 	    11.41 	  0.3638680  	    *                *               *                 *             *        Beam # 51331 Not Found
J0006+1834	     1.52 	 18.58306 	 0.6937 	 2.097E-15 	    11.41 	  0.3418993  	    *                *               *                 *             *        Beam # 51708 Not Found
J0006+1834	     1.52 	 18.58306 	 0.6937 	 2.097E-15 	    11.41 	  0.3427372  	    *                *               *                 *             *        Beam # 51941 Not Found
J0006+1834	     1.52 	 18.58306 	 0.6937 	 2.097E-15 	    11.41 	  0.4361126  	    *                *               *                 *             *        Beam # 52318 Not Found
J0007+7303	  1.75708 	 73.05206 	 0.3159 	 3.6039E-13 	        * 	 0.3213388 	  55150  	       *	   2.912	     0.278    	   0.122    	Not Detected in # 03222
J0007+7303	  1.75708 	 73.05206 	 0.3159 	 3.6039E-13 	        * 	 0.1849900 	  55150  	       *	   2.962	     0.170    	   0.105    	Not Detected in # 03366
  J0011+08	  2.89167 	  8.16667 	 2.5529 	        * 	     24.9 	  0.4349241  	    *                *               *                 *             *        Beam # 64717 Not Found
  J0011+08	  2.89167 	  8.16667 	 2.5529 	        * 	     24.9 	  0.4955217  	    *                *               *                 *             *        Beam # 64950 Not Found
  J0011+08	  2.89167 	  8.16667 	 2.5529 	        * 	     24.9 	  0.0998912  	    *                *               *                 *             *        Beam # 65327 Not Found
J0014+4746	  3.57396 	 47.77594 	 1.2407 	 5.6446E-16 	   30.405 	 0.3068100 	  55552  	  37.120	  22.044	     9.502    	   1.465    	Detected in Beam # 19569
J0014+4746	  3.57396 	 47.77594 	 1.2407 	 5.6446E-16 	   30.405 	 0.2278938 	  55538  	  113.28	  22.887	     3.233    	   0.711    	Detected in Beam # 19802
J0023+0923	  5.82033 	  9.38996 	 0.0031 	 1.1421E-20 	  14.3283 	  0.4223818  	    *                *               *                 *             *        Beam # 63298 Not Found
J0023+0923	  5.82033 	  9.38996 	 0.0031 	 1.1421E-20 	  14.3283 	  0.0885461  	    *                *               *                 *             *        Beam # 63675 Not Found
J0026+6320	  6.71067 	 63.33357 	 0.3184 	 0.15006E-15 	   230.31 	 0.4699689 	  55197  	  9.9560	   0.000	     0.000    	   0.000    	Not Detected in # 07814
J0026+6320	  6.71067 	 63.33357 	 0.3184 	 0.15006E-15 	   230.31 	 0.4426775 	  55197  	  12.024	   0.000	     0.000    	   0.000    	Not Detected in # 07958
J0026+6320	  6.71067 	 63.33357 	 0.3184 	 0.15006E-15 	   230.31 	 0.4258479 	  55198  	  13.383	   2.617	     0.593    	   0.202    	Not Detected in # 08047
