num name RA Dec P0 dP0 P1 dP1 DM dDM W50 dW50 S400 dS400 S1400 dS1400 SPINDX dSPINDX temp
1 J0002+6216 0.742375 62.269278 0.115364 1.4e-12 5.97e-15 7e-20 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 88.19850331788467
2 J0006+1834 1.52 18.583056 0.693748 1.4e-10 2.10e-15 1.2e-17 11.41 0.55 82.000 0.0 0.20 0.0 * 0.0 -3.30 0.9 32.4785029109778
3 J0007+7303 1.757083 73.052056 0.315873 3e-10 3.60e-13 5e-17 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 70.46941227932338
4 J0011+08 2.891667 8.166667 2.552870 0.0 * 0.0 24.90 0.0 28.000 0.0 * 0.0 * 0.0 * 0.0 35.011230202200835
5 J0014+4746 3.573958 47.775944 1.240699 1.1e-11 5.64e-16 1.4e-19 30.41 0.013 88.700 0.0 14.00 2.0 3.00 1.0 -1.00 0.1 42.013476242641005
6 J0023+0923 5.820326 9.389963 0.003050 7e-18 1.14e-20 4e-25 14.33 4e-05 * 0.0 2.00 0.0 0.48 0.0 * 0.0 34.26631041066465
33 J0026+6320 6.710671 63.333575 0.318358 1e-12 1.50e-16 6e-20 230.31 0.0 8.100 0.8 * 0.0 1.00 0.3 -0.80 0.0 102.05401144045776
34 J0030+0451 7.614283 4.861031 0.004865 3e-16 1.02e-20 1.2e-24 4.34 7e-05 * 0.0 7.90 0.2 0.60 0.2 -1.93 0.15 32.92545478589951
35 J0033+57 8.25 57.0 0.315000 0.0 * 0.0 76.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 74.34299519531156
36 J0033+61 8.25 61.0 0.912000 0.0 * 0.0 37.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 81.79219311067344
37 J0034-0534 8.590976 -5.576867 0.001877 2e-16 4.97e-21 1e-24 13.77 4e-05 0.800 0.0 17.00 5.0 0.61 0.09 -2.72 0.08 27.86000020345343
38 J0034-0721 8.53696 -7.364836 0.942951 1.7e-12 4.08e-16 7e-21 10.92 0.006 37.700 0.0 52.00 12.0 11.10 2.2 -1.60 0.2 31.73358311944161
39 J0034+69 8.5 69.716667 0.036804 1.6e-07 * 0.0 80.00 0.3 * 0.0 4.50 0.0 * 0.0 * 0.0 71.51229998747405
40 J0040+5716 10.134844 57.273587 1.118225 1.3e-12 2.88e-15 1.2e-20 92.51 0.0025 12.200 0.0 7.50 0.5 0.60 0.0 -1.70 0.1 70.76738019593786
43 J0048+3412 12.141603 34.202231 1.217094 8e-12 2.35e-15 6e-20 39.92 0.015 21.700 0.0 2.30 0.3 * 0.0 -2.40 0.2 36.352085826965975
44 J0050+03 12.629167 3.8 1.366560 0.0 * 0.0 26.50 0.0 33.000 0.0 * 0.0 * 0.0 * 0.0 30.243743536369234
45 J0051+0423 12.875417 4.380278 0.354732 1e-11 7.00e-18 2e-18 13.90 0.1 25.600 0.0 3.00 3.0 0.50 0.1 * 0.0 30.39272749467647
46 J0053+69 13.25 69.65 0.832938 2.8e-05 * 0.0 117.00 2.0 * 0.0 30.50 0.0 * 0.0 * 0.0 71.51229998747405
47 J0054+66 13.5 66.0 1.390000 0.0 * 0.0 15.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 86.85764769311952
48 J0054+69 13.616667 69.433333 * 0.0 * 0.0 90.30 0.2 * 0.0 * 0.0 * 0.0 * 0.0 71.51229998747405
49 J0055+5117 13.939076 51.29027 2.115171 4e-12 9.54e-15 4e-20 44.01 0.0024 73.000 0.0 3.40 0.4 1.50 0.2 -1.00 0.2 47.823850616623275
50 J0056+4756 14.106303 47.936263 0.472037 7e-12 3.33e-15 7e-20 18.14 0.0013 11.800 0.0 3.00 0.5 * 0.0 -1.20 0.2 44.84417145047852
52 J0058+6125 14.5 61.416667 0.637000 0.0 * 0.0 129.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 85.21882415173991
53 J0059+50 14.75 50.033333 0.996009 6.1e-05 * 0.0 67.00 2.0 * 0.0 5.60 0.0 * 0.0 * 0.0 45.738075200321944
56 J0102+4839 15.75 48.0 0.002960 0.0 * 0.0 53.50 0.0 * 0.0 0.50 0.0 * 0.0 * 0.0 47.823850616623275
57 J0102+6537 15.637326 65.620388 1.679164 1.2e-11 5.95e-15 9e-20 65.85 0.016 89.700 0.0 8.50 0.8 1.20 0.2 -1.60 0.1 86.85764769311952
