num name ra dec p0 p1 dm
1 J0249+58 42.349999999999994 58.863055555555555 23.535 * 45.7
1 J1235–02 188.98749999999998 -2.1558333333333333 3.597 * 18.8
1 J1404+11 211.1625 11.954166666666666 2.65 * 18.5
1 J0349+23 57.43333333333332 23.541111111111114 2.421 * 63.1
1 J1225+00 186.4708333333333 0.0 2.284 * 18.5
1 J1849+15 282.2333333333333 15.285277777777777 2.233 * 77.4
1 J1809+17 272.2166666666666 16.912777777777777 2.066 * 47.0
1 J1932+53 293.07916666666665 53.376111111111115 2.052 * 33.4
1 J0317+13 139.37499999999997 13.516388888888889 1.974 * 12.9
1 J2210+21 332.61249999999995 21.300555555555555 1.776 * 46.3
1 J0140+56 25.12516666666666 56.46177777777778 1.775 * 101.6
1 J0210+58 32.67916666666666 58.74027777777778 1.766 * 76.8
1 J2006+22 301.5541666666667 22.15 1.741 * 130.4
1 J1657+32 254.37083333333328 32.971944444444446 1.57 * 23.9
1 J0059+80 14.914791666666664 80.42216666666667 1.493 * 55.7
1 J1340+65 205.09999999999997 65.69861111111112 1.394 * 30.0
1 J0454+45 73.57916666666667 45.573055555555555 1.389 * 20.8
1 J0121+14 20.375 14.28277777777778 1.388 * 17.8
1 J2123+36 320.8791666666666 36.42527777777777 1.294 * 108.4
1 J1953+30 298.32499999999993 30.203055555555554 1.271 * 43.6
1 J0139+33 24.879166666666663 33.33972222222222 1.248 * 21.2
1 J0810+37 122.65416666666665 37.43527777777778 1.248 * 16.9
1 J1634+23 248.67499999999995 23.541111111111114 1.208 * 37.5
1 J0301+20 45.266666666666666 20.875833333333333 1.207 * 19.0
1 J0107+13 16.941666666666666 13.252222222222223 1.197 * 21.6
1 J0100+69 15.062499999999998 69.83666666666666 1.145 * 63.5
1 J1916+32 289.0166666666666 32.236111111111114 1.137 * 84.2
1 J2057+21 314.33474999999993 21.58372222222222 1.116 * 73.6
1 J1642+12 250.54999999999995 12.466666666666667 1.099 * 35.7
1 J1745+12 266.48749999999995 12.884166666666665 1.059 * 65.9
1 J1740+27 265.24583333333334 27.315833333333334 1.058 * 35.5
1 J0928+30 142.12499999999997 30.665555555555553 1.045 * 21.9
1 J2336–01 354.19987499999996 -1.9106666666666665 1.029 * 19.6
1 J1426+52 216.64999999999998 52.078611111111115 0.995 * 25.3
1 J1957+00 299.4 0.2452777777777778 0.965 * 38.3
1 J0935+33 143.7973333333333 33.18933333333333 0.961 * 18.4
1 J0518+51 79.51666666666665 51.34305555555556 0.91259 * 39.3
1 J0421+32 65.34583333333332 32.84916666666667 0.9 * 76.9
1 J0305+11 46.37083333333333 11.3225 0.862 * 27.8
1 J1740+38 265.1666666666667 38.82638888888889 0.8288 * 47.2
1 J1726+34 261.7291666666667 34.39222222222222 0.821 * 23.9
1 J2022+21 305.52916666666664 21.14 0.803 * 73.5
1 J1655+62 253.85 62.07138888888889 0.776 * 35.3
1 J1638+40 249.5416666666666 40.00138888888889 0.767 * 33.3
1 J2329+47 352.3958333333333 47.76694444444444 0.728 * 43.9
1 J1624+58 276.0208333333333 58.40694444444444 0.651 * 26.4
1 J0613+37 91.72583333333331 36.66844444444444 0.619 * 19.1
1 J0742+43 115.49999999999999 43.455000000000005 0.606 * 36.1
1 J1844+21 281.1083333333333 21.50777777777778 0.594 * 28.7
1 J2350+31 357.51249999999993 31.631944444444446 0.508 * 39.1
1 J1529+40 232.41666666666663 40.690555555555555 0.476 * 6.6
1 J0815+4611 123.99166666666666 46.198611111111106 0.434 * 11.3
1 J2305+31 346.43749999999994 31.27861111111111 0.341 * 46.1
1 J1814+22 273.71666666666664 22.361666666666668 0.253 * 62.3
1 J2053+17 313.3083333333333 17.37 0.119 * 27.0
1 J0418+22 64.74583333333332 22.805555555555557 0.045 * 5.6
1 J0652+47 103.21699999999998 47.114000000000004 0.00475 * 25.5
1 J0952–0607 148.054 -6.134 0.00141 * 22.4
