num name ra dec p0 p1 dm
1 J1604-31 241.0958333333333 -31.659166666666664 0.8839 * 53.0
1 J1915+06 288.65416666666664 6.326666666666666 0.87875 * 210.0
1 J1126-38 171.58749999999998 -38.64361111111111 0.87762 * 51.0
1 J1700-10 254.94583333333333 -9.898333333333333 0.81728 * 59.0
1 J1910-06 287.625 -5.886666666666666 0.55762 * 96.0
1 J1544-07 236.0958333333333 -7.276388888888889 0.48412 * 32.0
1 J1646-19 251.57916666666662 -19.261388888888888 4.8179 * 50.0
1 J1914+08 288.575 8.758055555555556 0.44007999999999997 * 292.0
1 J1759-55 269.8041666666667 -55.155833333333334 0.37338 * 69.0
1 J1244-18 191.0708333333333 -18.28666666666667 3.4251 * 17.0
1 J1943-20 295.6458333333333 -20.32472222222222 0.27512000000000003 * 59.0
1 J2138-51 324.4 -50.76111111111111 0.26731 * 24.0
1 J1928-01 292.0666666666666 -1.2016666666666667 2.3657600000000003 * 124.0
1 J1849+15 282.23749999999995 15.368611111111111 2.23355 * 110.0
1 J1828+12 277.0541666666666 12.423888888888888 1.52829 * 65.0
1 J1524-33 230.8833333333333 -32.54666666666667 1.5048 * 80.0
1 J2002-04 300.54166666666663 -3.87 1.3446500000000001 * 80.0
1 J1917-30 289.1583333333333 -29.634999999999998 1.24848 * 38.0
1 J1923-04 290.84166666666664 -4.131944444444444 1.14923 * 42.0
1 J1505-25 226.41666666666666 -25.38111111111111 0.99909 * 41.0
1 J0749-68 117.44583333333333 -68.76361111111112 0.9151699999999999 * 26.0
1 J1631-26 247.63749999999996 -26.03611111111111 1.91242 * 73.0
1 J2154-28 328.7125 -28.291666666666668 1.3432899999999999 * 40.0
1 J2252-37 342.9333333333333 -37.1975 12.1225 * 16.0
1 J2228-65 337.0416666666666 -65.18 2.74603 * 65.0
1 J1405-42 211.45416666666665 -42.56166666666666 2.43679 * 93.0
1 J1208-45 181.92916666666665 -45.17861111111111 1.76963 * 102.0
1 J1116-10 168.92916666666665 -9.928888888888888 1.31076 * 14.0
1 J1337-44 204.28333333333333 -44.73111111111111 1.25749 * 102.0
1 J1940-09 295.175 -9.044444444444444 0.97838 * 42.0
1 J1530-26 232.39583333333331 -26.17388888888889 0.7986 * 38.0
1 J1921-05 290.32916666666665 -5.105833333333333 0.79427 * 100.0
1 J0326-29 51.49583333333332 -28.827222222222222 0.7679 * 32.0
1 J1234-37 188.46249999999998 -36.581388888888895 0.56916 * 60.0
1 J1120-24 170.04166666666666 -23.6475 0.49701999999999996 * 11.0
1 J1421-44 215.2708333333333 -44.23861111111111 0.00639 * 55.0
1 J1306-40 196.80416666666665 -40.50333333333333 0.0022 * 35.0
