#@ Using S/N > 6 for detection threshold on zuul
#@ Using beam #/users/amcewen/GBNCC_work/beams_rfi.txt to search for pulsars from tmp 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-10-24 18:29:55 (ET)
#@ DM Searching - DMs is resulting DM from search
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 DMs 		 Dist  	 MJD     BW	 Spindx Temp 	 Wdat  		 Wcat 	 Wsmr 	 S/Ne 	 S/Nc 	S/Ns	S/Nm 	   Flux		dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (p/cc)		 (deg)	 (day)	(MHz) 		 (K) 	 (ms)  		 (ms)  	  (ms)   				   (mJy)	(mJy)  
J0048+3412  	 12.14 	 34.20 	 1.217094 	 39.92 	 40.05(0.31) 	 0.244 	 56025 	 85.0 	 -2.4 	 59.35 	 17.7691 	 0.89 	 3.56 	 80.469	 146.38	72.696	32.409	   1.2762    	 0.3290    	Detected in Beam  33544
J0156+3949  	 29.23 	 39.82 	 1.811561 	 59.83 	 58.45(0.47) 	 0.313 	 55657 	 95.6 	 -1.4 	 70.37 	 72.9138 	 2.39! 	 9.57! 	 48.958	 91.113	44.721	8.7422	   0.8610    	 0.1450    	Detected in Beam  27436
J0301+35    	 45.32 	 35.33 	 0.56832  	 57.4 	 57.43(0.15) 	 0.147 	 55984 	 95.1 	 * 	 41.56 	 6.04390 	 2.39! 	 9.57! 	 *	 *	*	16.222	   0.2717    	 0.1145    	Detected in Beam  32185
J0335+4555  	 53.81 	 45.93 	 0.269201 	 47.15 	 47.11(0.07) 	 0.177 	 55559 	 94.9 	 -1.9 	 83.93 	 5.71929 	 1.13 	 4.53 	 149.61	 292.04	144.71	13.146	   0.6794    	 0.1816    	Detected in Beam  21451
J0343+06    	 55.98 	 6.590 	 1.00764  	 46.3 	 24.13(0.26) 	 0.266 	 58228 	 97.7 	 * 	 31.73 	 81.4489 	 2.39! 	 9.57! 	 *	 *	*	0.6349	   0.0329    	 0.0457    	Not Detected in  67154
J0410-31    	 62.66 	 -31.1 	 1.8785   	 9.2 	 8.964(0.49) 	 0.470 	 56902 	 86.7 	 * 	 44.75 	 25.0223 	 0.47 	 1.91 	 *	 *	*	30.747	   2.8458    	 0.3425    	Detected in Beam 115009
J0417+35    	 64.42 	 35.75 	 0.6544   	 48.53 	 48.42(0.17) 	 0.252 	 55683 	 95.2 	 -2.4 	 74.25 	 9.23285 	 2.39! 	 9.57! 	 *	 *	*	29.859	   1.4089    	 0.3439    	Detected in Beam  31334
J0421-0345  	 65.38 	 -3.75 	 2.161308 	 44.61 	 44.30(0.56) 	 0.191 	 57154 	 77.2 	 -1.9 	 47.88 	 27.5594 	 0.57 	 2.31 	 393.43	 830.27	413.32	52.376	   1.3751    	 0.4619    	Detected in Beam  81129
J0458-0505  	 74.65 	 -5.08 	 1.88348  	 47.81 	 47.80(0.49) 	 0.162 	 57379 	 85.3 	 * 	 54.58 	 18.2318 	 0.69 	 2.76 	 *	 *	*	42.065	   0.9632    	 0.3888    	Detected in Beam  82794
J0502+4654  	 75.51 	 46.90 	 0.638565 	 41.83 	 42.38(0.16) 	 0.078 	 55552 	 94.9 	 -1.3 	 107.0 	 24.0368 	 1.77 	 7.10 	 175.06	 365.64	180.34	96.277	   7.0652    	 1.9923    	Detected in Beam  20545
